Metric,Units,Region,Type,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30,year31,year32,year33,year34,year35,year36,year37,year38,year39,year40
costsPerTree,dollars,Northern California Coast,Conifer,32.72385902,2.404343857,3.606515785,4.808687713,6.010859642,9.893461927,13.77606421,17.6586665,21.54126878,25.42387107,25.78908786,26.15430465,26.51952143,26.88473822,27.24995501,27.50430242,27.75864982,28.01299723,28.26734464,28.52169204,32.17603384,35.83037563,39.48471742,43.13905921,46.79340101,46.86296611,46.93253121,47.00209631,47.07166142,47.14122652,47.18687862,47.23253072,47.27818282,47.32383491,47.36948701,47.3890522,47.40861738,47.42818257,47.44774775,47.46731294
costsPerTree,dollars,Southern California Coast,Small,29.19080451,6.078205993,9.11730899,12.15641199,15.19551498,16.51135849,17.827202,19.14304551,20.45888901,21.77473252,21.83529436,21.89585619,21.95641803,22.01697986,22.0775417,23.24198062,24.40641954,25.57085846,26.73529738,27.8997363,27.88597224,27.87220819,27.85844413,27.84468008,27.83091603,27.78962387,27.74833171,27.70703955,27.66574739,27.62445523,27.56389339,27.50333156,27.44276972,27.38220789,27.32164605,27.58041026,27.83917446,28.09793866,28.35670287,28.61546707
costsPerTree,dollars,Southern California Coast,Med,29.45782714,6.612251266,9.918376899,13.22450253,16.53062816,17.83821324,19.14579832,20.45338339,21.76096847,23.06855354,24.37338581,25.67821807,26.98305034,28.2878826,29.59271487,29.6532767,29.71383854,29.77440037,29.83496221,29.89552404,29.91204091,29.92855777,29.94507463,29.9615915,29.97810836,29.9615915,29.94507463,29.92855777,29.91204091,29.89552404,29.85147907,29.8074341,29.76338913,29.71934416,29.67529919,29.61473735,29.55417552,29.49361368,29.43305185,29.37249001
costsPerTree,dollars,Southern California Coast,Large,29.46883839,6.634273751,9.951410627,13.2685475,16.58568438,19.38529285,22.18490131,24.98450978,27.78411825,30.58372671,31.07923264,31.57473856,32.07024448,32.56575041,33.06125633,33.73018933,34.39912232,35.06805532,35.73698832,36.40592131,36.74726984,37.08861836,37.42996689,37.77131541,38.11266394,38.85592282,39.59918171,40.34244059,41.08569948,41.82895836,42.0436776,42.25839683,42.47311606,42.6878353,42.90255453,43.59901563,44.29547674,44.99193784,45.68839894,46.38486005
costsPerTree,dollars,Temperate Interior West,Small,33.82723088,3.626714539,5.440071809,7.253429079,9.066786348,9.423512369,9.780238389,10.13696441,10.49369043,10.85041645,11.218576,11.58673554,11.95489509,12.32305464,12.69121418,13.01135292,13.33149165,13.65163039,13.97176913,14.29190786,14.55716567,14.82242348,15.08768129,15.3529391,15.61819691,15.83543391,16.05267091,16.26990791,16.48714491,16.70438191,16.8735981,17.04281429,17.21203048,17.38124667,17.55046286,17.67394494,17.79742702,17.92090911,18.04439119,18.16787328
costsPerTree,dollars,Temperate Interior West,Med,34.51552917,5.003311105,7.504966657,10.00662221,12.50827776,12.54943846,12.59059915,12.63175985,12.67292054,12.71408123,13.09367431,13.47326738,13.85286045,14.23245353,14.6120466,14.92303851,15.23403043,15.54502234,15.85601426,16.16700617,16.41168364,16.6563611,16.90103856,17.14571603,17.39039349,18.32565594,19.26091839,20.19618084,21.13144329,22.06670574,22.14445372,22.2222017,22.29994968,22.37769766,22.45544563,22.48059939,22.50575315,22.53090691,22.55606067,22.58121442
costsPerTree,dollars,Temperate Interior West,Large,33.94156615,3.855385065,5.783077598,7.71077013,9.638462663,10.1758384,10.71321413,11.25058987,11.78796561,12.32534134,12.77810898,13.23087662,13.68364426,14.13641191,14.58917955,14.95733909,15.32549864,15.69365819,16.06181773,16.42997728,17.52302239,18.61606751,19.70911262,20.80215773,21.89520285,22.07585256,22.25650228,22.43715199,22.61780171,22.79845142,22.9196468,23.04084218,23.16203756,23.28323294,23.40442832,23.47760288,23.55077745,23.62395202,23.69712659,23.77030116
costsPerTree,dollars,Temperate Interior West,Conifer,33.37674995,2.725752668,4.088629001,5.451505335,6.814381669,6.441648712,6.068915755,5.696182798,5.323449841,4.950716884,5.641301872,6.33188686,7.022471848,7.713056836,8.403641823,8.707773623,9.011905422,9.316037221,9.620169021,9.92430082,10.15754476,10.39078869,10.62403263,10.85727657,11.0905205,11.26659681,11.44267311,11.61874942,11.79482572,11.97090203,12.10124423,12.23158643,12.36192863,12.49227082,12.62261302,12.77810898,12.93360494,13.0891009,13.24459685,13.40009281
costsPerTree,dollars,Inland Valley (San Juaquin Valley),Small,81.84342122,21.41973561,32.12960341,42.83947121,53.54933902,43.46829182,33.38724463,23.30619744,13.22515025,3.144103061,3.320514274,3.496925486,3.673336699,3.849747911,4.026159124,4.16842623,4.310693337,4.452960444,4.595227551,4.737494658,4.856999028,4.976503397,5.096007767,5.215512137,5.335016507,5.431758139,5.528499772,5.625241405,5.721983037,5.81872467,5.89839425,5.97806383,6.057733409,6.137402989,6.217072569,6.356494334,6.495916098,6.635337863,6.774759628,6.914181393
costsPerTree,dollars,Inland Valley (San Juaquin Valley),Med,82.40395363,22.54080041,33.81120061,45.08160082,56.35200102,46.58394146,36.81588191,27.04782235,17.2797628,7.511703241,7.947040588,8.382377935,8.817715282,9.253052629,9.688389976,10.00991364,10.3314373,10.65296096,10.97448462,11.29600828,12.35163022,13.40725215,14.46287408,15.51849601,16.57411795,16.78751861,17.00091927,17.21431993,17.42772059,17.64112125,17.78338836,17.92565546,18.06792257,18.21018968,18.35245678,18.43212636,18.51179594,18.59146552,18.6711351,18.75080468
